film_screening,film_creator,film_title,film_duration_human,film_filename,film_vimeo,film_url
06:02,Christian Jankowski,Rosa (2001),19′,Jankowski-Christian_Rose_2001.mp4,https://player.vimeo.com/video/126878280,http://ubuvideo.memoryoftheworld.org/Jankowski-Christian_Rose_2001.mp4
06:21,Claude Closky,200 Mouths To Feed (1994),5′,Closky-Claude_200-mouths.mp4,https://player.vimeo.com/video/211587680,http://ubuvideo.memoryoftheworld.org/Closky-Claude_200-mouths.mp4
06:26,Zoe Beloff,The Bear Dream (2009),2′,Beloff-Zoe_Dream-FIlm_bobsled.mp4,https://player.vimeo.com/video/123526871,http://ubuvideo.memoryoftheworld.org/Beloff-Zoe_Dream-FIlm_bobsled.mp4
06:29,Richard  Kern,Horoscope (1991),4′,Kern_Richard_Horoscope_1991.mp4,https://player.vimeo.com/video/126882862,http://ubuvideo.memoryoftheworld.org/Kern_Richard_Horoscope_1991.mp4
06:33,Harrell Fletcher,If I Wasn't Me I Would Be You (2004),7′,Fletcher_Harrell_if_I_wasnt_me_ide_be_you_2004.mp4,https://player.vimeo.com/video/125004377,http://ubuvideo.memoryoftheworld.org/Fletcher_Harrell_if_I_wasnt_me_ide_be_you_2004.mp4
06:41,Simon Starling,,4′,Starling-Simon_Noack-Master.mp4,https://player.vimeo.com/video/235678000,http://ubuvideo.memoryoftheworld.org/Starling-Simon_Noack-Master.mp4
06:45,Philippe Parreno,Two Minutes Out of Time (2000),3′,Parreno_Philippe_Two_Minutes_Out_Of_Time.mp4,https://player.vimeo.com/video/129107826,http://ubuvideo.memoryoftheworld.org/Parreno_Philippe_Two_Minutes_Out_Of_Time.mp4
06:48,People Like Us (Vicki Bennett),"4'33"" The Movie (2011)",4′,Vicki-Bennett_4min33-The-Movie_2011.mp4,https://player.vimeo.com/video/132330259,http://ubuvideo.memoryoftheworld.org/Vicki-Bennett_4min33-The-Movie_2011.mp4
06:53,Eija-Liisa Ahtila,If 6 Was 9 (1995),10′,Ahtilla-Eija-Liisa_Jos6Olis9_1995.mp4,https://player.vimeo.com/video/122472928,http://ubuvideo.memoryoftheworld.org/Ahtilla-Eija-Liisa_Jos6Olis9_1995.mp4
07:04,Yin-Ju Chen & James T. Hong,,5′,Chen-Yin-Ju_Hong-James-T_Suprematist-Kapital_2006.mp4,https://player.vimeo.com/video/124052720,http://ubuvideo.memoryoftheworld.org/Chen-Yin-Ju_Hong-James-T_Suprematist-Kapital_2006.mp4
07:09,People Like Us (Vicki Bennett),The Golem - An Inanimate Matter (2013),2′,Vicki-Bennett_The-Golem-An-Inanimate-Matter_2013.mp4,https://player.vimeo.com/video/135114740,http://ubuvideo.memoryoftheworld.org/Vicki-Bennett_The-Golem-An-Inanimate-Matter_2013.mp4
07:12,Joseph Cornell,Cotillion  / The Midnight Party  (made with Larry Jordan) (c. 1938),10′,Cornell-Joseph_1938.CotillionAndTheMidnightParty.mp4,https://player.vimeo.com/video/124372292,http://ubuvideo.memoryoftheworld.org/Cornell-Joseph_1938.CotillionAndTheMidnightParty.mp4
07:22,Chris Habib,Making The Nature Scene (Kim Gordon) (1985),11′,habib_chris_gordon_kim_naturescene_1985.m4v,https://player.vimeo.com/video/125947313,http://ubuvideo.memoryoftheworld.org/habib_chris_gordon_kim_naturescene_1985.m4v
07:34,Joyce Wieland,Rat Life and Diet in North America (1968),16′,Wieland-Joyce_Rat-Life-and-Diet-in-North-America_1968.mp4,https://player.vimeo.com/video/132835622,http://ubuvideo.memoryoftheworld.org/Wieland-Joyce_Rat-Life-and-Diet-in-North-America_1968.mp4
07:50,Kurt Kren,1957 - 157 Versuch mit synthetischem Ton (Test) (Experiment with Synthetic Sound (Test),1′,Kren-Kurt_1957_1-57_Versuch-mit-synthetischem-ton.mp4,https://player.vimeo.com/video/126884596,http://ubuvideo.memoryoftheworld.org/Kren-Kurt_1957_1-57_Versuch-mit-synthetischem-ton.mp4
07:52,Peter Rose,,6′,Rose-Peter_The-Gift.m4v,https://player.vimeo.com/video/135111577,http://ubuvideo.memoryoftheworld.org/Rose-Peter_The-Gift.m4v
07:58,Sergei Parajanov,Kievskiy Freskiy (Kiev Frescos),15′,Parajanov_Sergei_Kievskiy_Freskiy_1966.mp4,https://player.vimeo.com/video/129715527,http://ubuvideo.memoryoftheworld.org/Parajanov_Sergei_Kievskiy_Freskiy_1966.mp4
08:13,Cory Arcangel,Urbandale (2001),7′,Arcangel-Corey_Urbandale_2001.mp4,https://player.vimeo.com/video/122679652,http://ubuvideo.memoryoftheworld.org/Arcangel-Corey_Urbandale_2001.mp4
08:20,Alejandra Salinas and Aeron Bergman,,3′,Salinas_Bergman_grace_boggs.m4v,https://player.vimeo.com/video/133344290,http://ubuvideo.memoryoftheworld.org/Salinas_Bergman_grace_boggs.m4v
08:24,Georges Perec,Ciné Regards (1979),11′,Perec-Georges_Cine-Regards-1979.mp4,https://player.vimeo.com/video/135109740,http://ubuvideo.memoryoftheworld.org/Perec-Georges_Cine-Regards-1979.mp4
08:36,Rosemary Trockel,"Es war Nacht, es war kalt, und wir hatten viel getrunken [It Was Night, It Was Cold and We Drank a Lot] (1999)",5′,Trockel-Rosemarie_Es_war_Nacht.mov,https://player.vimeo.com/video/233052452,http://ubuvideo.memoryoftheworld.org/Trockel-Rosemarie_Es_war_Nacht.mov
08:41,People Like Us (Vicki Bennett),"Work, Rest & Play (2007)",13′,PLU_Work-Rest-+-Play_2007.mp4,https://player.vimeo.com/video/129261120,http://ubuvideo.memoryoftheworld.org/PLU_Work-Rest-+-Play_2007.mp4
08:55,Fluxfilm Anthology,12 Robert Watts - Trace #23,3′,fluxfilm_12_watts.mp4,https://player.vimeo.com/video/125005563,http://ubuvideo.memoryoftheworld.org/fluxfilm_12_watts.mp4
08:58,Yves Klein,Anthropometries of the Blue Period and Fire Paintings: Two Performances (1960),6′,Klein-Yves_Anthropometries-of-the-Blue-Period-and-Fire-Paintings_1960.mp4,https://player.vimeo.com/video/126883733,http://ubuvideo.memoryoftheworld.org/Klein-Yves_Anthropometries-of-the-Blue-Period-and-Fire-Paintings_1960.mp4
09:05,Kurt Kren,1968 - 2068 Schatzi,2′,Kren-Kurt_1968_20-68_Schatzi.mp4,https://player.vimeo.com/video/126884884,http://ubuvideo.memoryoftheworld.org/Kren-Kurt_1968_20-68_Schatzi.mp4
09:07,Nobuhiko Obayashi,Nakasendo,16′,Obayashi-Nobuhiko_1963_Nakasendo.mp4,https://player.vimeo.com/video/128678761,http://ubuvideo.memoryoftheworld.org/Obayashi-Nobuhiko_1963_Nakasendo.mp4
09:24,Hilary Harris,Longhorns (1951),4′,Harris-Hilary_Longhorns_1951.mp4,https://player.vimeo.com/video/125948671,http://ubuvideo.memoryoftheworld.org/Harris-Hilary_Longhorns_1951.mp4
09:28,Nobuhiko Obayashi,Onomichi,19′,Obayashi-Nobuhiko_1963_Onomichi.mp4,https://player.vimeo.com/video/128678881,http://ubuvideo.memoryoftheworld.org/Obayashi-Nobuhiko_1963_Onomichi.mp4
09:48,Rafael Ruiz Balerdi,Homenaje a tarzan (1970),4′,Balerdi-Rafael-Ruiz_Homenaje-a-Tarzan_1970.mp4,https://player.vimeo.com/video/122703791,http://ubuvideo.memoryoftheworld.org/Balerdi-Rafael-Ruiz_Homenaje-a-Tarzan_1970.mp4
09:53,Rivane Neuenschwander,Pangaea's Diaries (2008),4′,Neuenschwander-Rivane_PangaeasDiaries.mp4,https://player.vimeo.com/video/170115997,http://ubuvideo.memoryoftheworld.org/Neuenschwander-Rivane_PangaeasDiaries.mp4
09:57,People Like Us (Vicki Bennett),Clean Your Room (2011),3′,People-Like-Us_Clean-Your-Room_2011.mp4,https://player.vimeo.com/video/129113879,http://ubuvideo.memoryoftheworld.org/People-Like-Us_Clean-Your-Room_2011.mp4
10:00,Aleksandra Mir,Sicilian Pavilion (2007),12′,Mir-Aleksandra_Sicilianpaviliontot-Clip4.mp4,https://player.vimeo.com/video/128556278,http://ubuvideo.memoryoftheworld.org/Mir-Aleksandra_Sicilianpaviliontot-Clip4.mp4
10:12,Ito Takashi,Ghost (1984),5′,Ito-Takashi_Ghost_1984.mp4,https://player.vimeo.com/video/126876895,http://ubuvideo.memoryoftheworld.org/Ito-Takashi_Ghost_1984.mp4
10:18,Carsten Höller,One Minute of Doubt (1999),1′,Holler-Carsten_One-Minute-of-Doubt.mp4,https://player.vimeo.com/video/126873409,http://ubuvideo.memoryoftheworld.org/Holler-Carsten_One-Minute-of-Doubt.mp4
